Feature,Stressed Mean,Non-Stressed Mean,Mean Diff,Mann-Whitney U,p-value,Cohen's d,Effect Magnitude,Statistically Significant
lex_liwc_Tone,18.0401,49.4999,-31.4599,729605.0,8.231442555209787e-166,-1.0031,Large,Yes (p < 0.001)
lex_liwc_negemo,4.4357,2.0947,2.341,2325841.0,5.673523452250738e-145,0.8553,Large,Yes (p < 0.001)
lex_liwc_i,10.8365,7.3148,3.5217,2240713.0,1.5507993827931588e-114,0.8316,Large,Yes (p < 0.001)
sentiment,-0.0161,0.1051,-0.1211,960589.0,1.4565391291855026e-85,-0.6526,Medium,Yes (p < 0.001)
lex_liwc_anx,1.3126,0.5101,0.8025,2044604.0,1.9544777779940554e-72,0.5618,Medium,Yes (p < 0.001)
lex_liwc_posemo,1.9866,3.4098,-1.4232,1060222.0,2.6064780225947865e-60,-0.5983,Medium,Yes (p < 0.001)
lex_liwc_anger,1.2166,0.5972,0.6194,1949942.0,1.1917070781302827e-47,0.4446,Small,Yes (p < 0.001)
lex_liwc_sad,0.8011,0.3721,0.429,1888561.5,1.9207936586366037e-39,0.4121,Small,Yes (p < 0.001)
lex_liwc_focuspresent,13.2424,11.3251,1.9172,1865753.0,4.59801508394684e-25,0.3472,Small,Yes (p < 0.001)
sentence_count,4.9708,4.7827,0.1881,1707214.0,2.919831376056743e-11,0.22,Small,Yes (p < 0.001)
lex_liwc_cogproc,14.08,13.2117,0.8683,1702796.5,7.415228859247234e-07,0.163,Negligible,Yes (p < 0.001)
lex_liwc_work,1.6602,2.0385,-0.3783,1454985.0,0.0007724185570032193,-0.1568,Negligible,Yes (p < 0.001)
syntax_fk_grade,5.3157,5.5884,-0.2727,1453846.5,0.0010184303550011594,-0.1087,Negligible,Yes (p < 0.05)
lex_liwc_discrep,1.8247,2.0543,-0.2296,1463758.5,0.002772081828272826,-0.1193,Negligible,Yes (p < 0.05)
lex_liwc_focuspast,4.8684,5.3132,-0.4448,1481854.0,0.01822147908068331,-0.1105,Negligible,Yes (p < 0.05)
lex_liwc_certain,1.6098,1.5105,0.0993,1621919.5,0.020651531677930556,0.0621,Negligible,Yes (p < 0.05)
lex_liwc_achieve,1.2796,1.4414,-0.1618,1486475.5,0.023242787463715515,-0.1037,Negligible,Yes (p < 0.05)
word_count,38.5333,36.9417,1.5916,1617694.5,0.03271497647040726,0.1118,Negligible,Yes (p < 0.05)
uppercase_ratio,0.0246,0.0252,-0.0007,1617368.0,0.033664045255099154,-0.035,Negligible,Yes (p < 0.05)
lex_liwc_focusfuture,1.0942,1.2497,-0.1556,1496387.5,0.049938428975406485,-0.1091,Negligible,Yes (p < 0.05)
lex_liwc_tentat,3.306,3.408,-0.102,1513201.5,0.18579203967026547,-0.0398,Negligible,No
lexical_diversity,0.8924,0.892,0.0004,1548187.5,0.8693199406550388,0.0054,Negligible,No
